record_id,merchant_id,transaction_date,value_date,description,reference_number,debit_amount_paise,credit_amount_paise,balance_paise,bank_name,account_number
banktxn_k6alqvipz2t5kgk7,merch_apollo,2026-02-21,2026-02-21,NEFT/RAZORPAY/1H2BUXSHBRV5UMQL/setl_qsui2eiit4,1H2BUXSHBRV5UMQL,,377426,,HDFC,XXXXXX4021
banktxn_on6eu1zke4tjq782,merch_urbanco,2026-02-27,2026-02-27,NEFT/RAZORPAY/T49EPZN5P0GY7TNG/setl_8fzygrpne8,T49EPZN5P0GY7TNG,,10707,,Axis,XXXXXX1147
banktxn_d8gik70vrb8oyewz,merch_urbanco,2026-02-08,2026-02-08,NEFT/RAZORPAY/W7MR7IVXJ2EP30DJ/setl_8fzygrpne8,W7MR7IVXJ2EP30DJ,,0,,Axis,XXXXXX1147
banktxn_ge3uaxo9f27c1skq,merch_nykaa,2026-06-11,2026-06-11,NEFT/RAZORPAY/JLWWYVJU1NL7QJ1U/setl_4ifhlky589,JLWWYVJU1NL7QJ1U,,375863,,RazorpayX,RZPX00XXXX2201
banktxn_q9jobyufej9t3zqq,merch_zomato,2026-02-01,2026-02-01,NEFT/RAZORPAY/EQJH3ZBRZV3MOXKQ/setl_pfjnuzxmrz,EQJH3ZBRZV3MOXKQ,,116768,,ICICI,XXXXXX8830
banktxn_md9qsd5687omrk8f,merch_bluedart,2026-03-14,2026-03-14,NEFT/RAZORPAY/O566KNJ8O894X0AS/setl_5b44fp7f25,O566KNJ8O894X0AS,,7023,,Kotak,XXXXXX5567
banktxn_k5zt0ncijftnvcyf,merch_bluedart,2026-01-22,2026-01-22,NEFT/RAZORPAY/KH4N7W3BEX2P4TIJ/setl_5b44fp7f25,KH4N7W3BEX2P4TIJ,,507698,,Kotak,XXXXXX5567
banktxn_sbadc82r5rc9gk45,merch_zomato,2026-02-01,2026-02-01,NEFT/RAZORPAY/3OXQYUFUJ5P2WX97/setl_pfjnuzxmrz,3OXQYUFUJ5P2WX97,,113361,,ICICI,XXXXXX8830
banktxn_f0a5hpmppcx045zi,merch_urbanco,2026-06-20,2026-06-20,NEFT/RAZORPAY/3BVS0CXIC2WXEA2N/setl_8fzygrpne8,3BVS0CXIC2WXEA2N,,138745,,Axis,XXXXXX1147
banktxn_gdecfm9675v0y2un,merch_apollo,2026-02-06,2026-02-06,NEFT/RAZORPAY/PL4ZBUKMDHBCVCFF/setl_qsui2eiit4,PL4ZBUKMDHBCVCFF,,178291,,HDFC,XXXXXX4021
banktxn_u0bqv8xykvjgz3p6,merch_nykaa,2026-04-13,2026-04-13,NEFT/RAZORPAY/NPHSB8E6HFZROC99/setl_4ifhlky589,NPHSB8E6HFZROC99,,208975,,RazorpayX,RZPX00XXXX2201
banktxn_pfaooeg5rfxhiyhq,merch_urbanco,2026-03-13,2026-03-13,NEFT/RAZORPAY/Y0VUJ0RIE0ZNCQZR/setl_8fzygrpne8,Y0VUJ0RIE0ZNCQZR,,104880,,Axis,XXXXXX1147
banktxn_ka2zx7gujcn3d7fr,merch_zomato,2026-01-28,2026-01-28,NEFT/RAZORPAY/O07FOSF2CT6XDUOJ/setl_pfjnuzxmrz,O07FOSF2CT6XDUOJ,,197522,,ICICI,XXXXXX8830
banktxn_ddyxgzu91ox2ga3i,merch_bluedart,2026-05-31,2026-05-31,NEFT/RAZORPAY/573F9I0L7JSU1LDY/setl_5b44fp7f25,573F9I0L7JSU1LDY,,109365,,Kotak,XXXXXX5567
banktxn_vvbeic071t7dqq2l,merch_apollo,2026-03-21,2026-03-21,NEFT/RAZORPAY/DD36X5UIRKGXM8VX/setl_qsui2eiit4,DD36X5UIRKGXM8VX,,0,,HDFC,XXXXXX4021
banktxn_3c79uvba23nidrgl,merch_urbanco,2026-01-12,2026-01-12,NEFT/RAZORPAY/MQ0ZFC7X6NYWETDH/setl_8fzygrpne8,MQ0ZFC7X6NYWETDH,,32284,,Axis,XXXXXX1147
banktxn_qbvf17hv4nurgu7n,merch_lenskart,2026-04-25,2026-04-25,NEFT/RAZORPAY/V2JJVZTE109GJU7I/setl_71hfe86y5r,V2JJVZTE109GJU7I,,414376,,HDFC,XXXXXX9910
banktxn_9f9jrqk4dqhiagfp,merch_urbanco,2026-01-21,2026-01-21,NEFT/RAZORPAY/ZB1XBVDTHYR3XCNT/setl_8fzygrpne8,ZB1XBVDTHYR3XCNT,,139138,,Axis,XXXXXX1147
banktxn_yc5jt9ur17a9svu1,merch_apollo,2026-04-12,2026-04-12,NEFT/RAZORPAY/PJ5880C71C1DU9FR/setl_cah81ghzb2,PJ5880C71C1DU9FR,,123786,,HDFC,XXXXXX4021
banktxn_f9xqe8rqqtxn1s90,merch_urbanco,2026-05-26,2026-05-26,NEFT/RAZORPAY/7CSQ0FULIWA5HNQN/setl_8fzygrpne8,7CSQ0FULIWA5HNQN,,1974348,,Axis,XXXXXX1147
banktxn_wbc9e78p2hc9r1c5,merch_zomato,2026-05-10,2026-05-10,NEFT/RAZORPAY/V5RF9WBFH7GFRCU6/setl_pfjnuzxmrz,V5RF9WBFH7GFRCU6,,75520,,ICICI,XXXXXX8830
banktxn_1tbh1uxsmg7z5mrd,merch_lenskart,2026-03-06,2026-03-06,NEFT/RAZORPAY/SWCPC4HRAJ69T67F/setl_feoxkbs04v,SWCPC4HRAJ69T67F,,345889,,HDFC,XXXXXX9910
banktxn_ewzqy7x3uxxskhci,merch_apollo,2026-01-13,2026-01-13,NEFT/RAZORPAY/I916DKWWMDO29O54/setl_cah81ghzb2,I916DKWWMDO29O54,,550919,,HDFC,XXXXXX4021
banktxn_38wsrukjw7fzpoou,merch_apollo,2026-05-01,2026-05-01,NEFT/RAZORPAY/LHUDA0ED599AU0K4/setl_cah81ghzb2,LHUDA0ED599AU0K4,,121882,,HDFC,XXXXXX4021
banktxn_wajxc88l35j9mtpa,merch_zomato,2026-02-07,2026-02-07,NEFT/RAZORPAY/GNLUPJ2EW6QRHP1A/setl_pfjnuzxmrz,GNLUPJ2EW6QRHP1A,,263530,,ICICI,XXXXXX8830
banktxn_lobr9ijou2gqbapx,merch_lenskart,2026-04-08,2026-04-08,NEFT/RAZORPAY/NNLW0P4E8VC2DJR5/setl_feoxkbs04v,NNLW0P4E8VC2DJR5,,2124547,,HDFC,XXXXXX9910
banktxn_e1ke4itqlyouz0ll,merch_urbanco,2026-01-28,2026-01-28,NEFT/RAZORPAY/PBIH0QD1Q8HHTK6E/setl_t69rq553r8,PBIH0QD1Q8HHTK6E,,408504,,Axis,XXXXXX1147
banktxn_kxnovaxubuo04lej,merch_lenskart,2026-03-06,2026-03-06,NEFT/RAZORPAY/E1DJ90GNWXPUAM9W/setl_feoxkbs04v,E1DJ90GNWXPUAM9W,,131372,,HDFC,XXXXXX9910
banktxn_sct0gqhvblwuwijg,merch_zomato,2026-01-17,2026-01-17,NEFT/RAZORPAY/4CU7S5UC6YDVJ0R7/setl_n2p6lw4hzy,4CU7S5UC6YDVJ0R7,,192543,,ICICI,XXXXXX8830
banktxn_tetnlcgg187qrpv3,merch_zomato,2026-05-03,2026-05-03,NEFT/RAZORPAY/FKYGZXI184KNSDBK/setl_n2p6lw4hzy,FKYGZXI184KNSDBK,,155611,,ICICI,XXXXXX8830
banktxn_gadzzkpmbv5lmyek,merch_lenskart,2026-06-03,2026-06-03,NEFT/RAZORPAY/L6IQ1TGMMMFHS3KT/setl_feoxkbs04v,L6IQ1TGMMMFHS3KT,,62010,,HDFC,XXXXXX9910
banktxn_3m744xqacfbb1v7l,merch_bluedart,2026-06-06,2026-06-06,NEFT/RAZORPAY/R8PDSJYJLEWQ9YK0/setl_5b44fp7f25,R8PDSJYJLEWQ9YK0,,191955,,Kotak,XXXXXX5567
banktxn_jq3cdlzaoxrbs1do,merch_lenskart,2026-03-09,2026-03-09,NEFT/RAZORPAY/DCCNTZQNJDP9U6YS/setl_feoxkbs04v,DCCNTZQNJDP9U6YS,,0,,HDFC,XXXXXX9910
banktxn_5kw7186f4bn49f54,merch_urbanco,2026-05-16,2026-05-16,NEFT/RAZORPAY/LNWRQL8MGZCVIH5S/setl_t69rq553r8,LNWRQL8MGZCVIH5S,,73337,,Axis,XXXXXX1147
banktxn_km1guoy6rmv1o2v5,merch_urbanco,2026-02-12,2026-02-12,NEFT/RAZORPAY/RMP0JLONDJRU2V2V/setl_t69rq553r8,RMP0JLONDJRU2V2V,,36265,,Axis,XXXXXX1147
banktxn_f91zkeaody1a5hv7,merch_nykaa,2026-05-24,2026-05-24,NEFT/RAZORPAY/RD2307LHIRFEEHZM/setl_rcicpbhxvx,RD2307LHIRFEEHZM,,889972,,RazorpayX,RZPX00XXXX2201
banktxn_r5rgmehnguaaexxc,merch_lenskart,2026-06-08,2026-06-08,NEFT/RAZORPAY/EOU1F4S1OMNO1VRS/setl_jrosde65qs,EOU1F4S1OMNO1VRS,,402342,,HDFC,XXXXXX9910
banktxn_shkgd1cpioyt5783,merch_zomato,2026-03-16,2026-03-18,NEFT/RAZORPAY/6REAHXZXLSAYDSRB/setl_n2p6lw4hzy,6REAHXZXLSAYDSRB,,418686,,ICICI,XXXXXX8830
banktxn_kx0pbfn3h1noolt2,merch_bluedart,2026-06-13,2026-06-13,NEFT/RAZORPAY/YVOY9RWV98KXCV2Y/setl_cea2mqttkp,IMVFHQRJGVDEYSZ3,,488322,,Kotak,XXXXXX5567
banktxn_lzrq3kwqsyshja8v,merch_urbanco,2026-03-26,2026-03-26,NEFT/RAZORPAY/Z38U0HN8FWXZMPA8/setl_jzsdq6081w,Z38U0HN8FWXZMPA8,,112329,,Axis,XXXXXX1147
banktxn_908nwanid4xdby68,merch_urbanco,2026-03-28,2026-03-28,NEFT/RAZORPAY/IJIXXOOV9VERSSIQ/setl_jzsdq6081w,IJIXXOOV9VERSSIQ,,540274,,Axis,XXXXXX1147
banktxn_o5jp55awvharzw9t,merch_lenskart,2026-05-12,2026-05-12,NEFT/RAZORPAY/S0YB31GY2QUKU5BC/setl_jrosde65qs,S0YB31GY2QUKU5BC,,287986,,HDFC,XXXXXX9910
banktxn_sspdfiava1czyoa4,merch_apollo,2026-03-02,2026-03-02,NEFT/RAZORPAY/NITL9C478C9SIYV5/setl_cah81ghzb2,NITL9C478C9SIYV5,,25160,,HDFC,XXXXXX4021
banktxn_rsczegjywczjbkeo,merch_nykaa,2026-04-17,2026-04-17,NEFT/RAZORPAY/DNSGXFL9QX3PHYR2/setl_g5wjzkie9x,DNSGXFL9QX3PHYR2,,276568,,RazorpayX,RZPX00XXXX2201
banktxn_5opse80iltlzyskb,merch_nykaa,2026-01-04,2026-01-04,NEFT/RAZORPAY/22Q2MF0YZQWGF097/setl_g5wjzkie9x,22Q2MF0YZQWGF097,,516619,,RazorpayX,RZPX00XXXX2201
banktxn_ltphlcnfrnuhpowo,merch_urbanco,2026-05-15,2026-05-15,NEFT/RAZORPAY/2F45NXVP1NHNTOHV/setl_jzsdq6081w,2F45NXVP1NHNTOHV,,0,,Axis,XXXXXX1147
banktxn_t0bnm7axatqdrjf5,merch_apollo,2026-04-14,2026-04-14,NEFT/RAZORPAY/OHRBTS57M8OEKD3N/setl_4m1mvohiti,OHRBTS57M8OEKD3N,,121780,,HDFC,XXXXXX4021
banktxn_aiohwxjtnsaznvlm,merch_bluedart,2026-04-04,2026-04-04,NEFT/RAZORPAY/ZLUE1YELA65YQXII/setl_cea2mqttkp,ZLUE1YELA65YQXII,,216288,,Kotak,XXXXXX5567
banktxn_xekd1q2qvpg0bbwy,merch_nykaa,2026-03-30,2026-03-30,NEFT/RAZORPAY/D0G9VQDR8W6GGHT7/setl_g5wjzkie9x,D0G9VQDR8W6GGHT7,,296270,,RazorpayX,RZPX00XXXX2201
banktxn_8vctyt2o0yljy5zr,merch_nykaa,2026-05-18,2026-05-18,NEFT/RAZORPAY/700XX57G7P015O9F/setl_g5wjzkie9x,700XX57G7P015O9F,,72921,,RazorpayX,RZPX00XXXX2201
banktxn_ng9o2taeo19iirnh,merch_zomato,2026-05-23,2026-05-23,NEFT/RAZORPAY/K78Y4SVL68ENVW6L/setl_n2p6lw4hzy,K78Y4SVL68ENVW6L,,73294,,ICICI,XXXXXX8830
banktxn_sod9u4dldzpuq8m8,merch_bluedart,2026-06-18,2026-06-18,NEFT/RAZORPAY/PXP9SBZXJ2SQRG80/setl_cea2mqttkp,PXP9SBZXJ2SQRG80,,40820,,Kotak,XXXXXX5567
banktxn_mzk6ee8tavby5a7o,merch_urbanco,2026-04-14,2026-04-14,NEFT/RAZORPAY/SAHSRFZ0YE2PKG3A/setl_b6r0dbb1bq,SAHSRFZ0YE2PKG3A,,0,,Axis,XXXXXX1147
banktxn_fm429nlm37elil2e,merch_zomato,2026-04-04,2026-04-04,NEFT/RAZORPAY/F2HGY2EBAMCFDB0A/setl_n2p6lw4hzy,F2HGY2EBAMCFDB0A,,25546,,ICICI,XXXXXX8830
banktxn_rhuk9wpgo691r7se,merch_zomato,2026-03-11,2026-03-11,NEFT/RAZORPAY/DSL68BPS4E6UNEP8/setl_n2p6lw4hzy,DSL68BPS4E6UNEP8,,93549,,ICICI,XXXXXX8830
banktxn_bcxrh400lewlkuhb,merch_urbanco,2026-03-31,2026-03-31,NEFT/RAZORPAY/GS0AMIYNEO8QZ2HT/setl_b6r0dbb1bq,GS0AMIYNEO8QZ2HT,,591875,,Axis,XXXXXX1147
