ledger_id,merchant_id,order_id,invoice_number,customer_id,amount_paise,currency,transaction_type,created_at,payment_status,payment_gateway_id,notes
led_pw0ytq3cxnvs,merch_apollo,order_wyvs52rkg15e,INV-2026-00001,cust_0390,386549,INR,sale,2026-02-20T14:30:00Z,paid,pay_9h943ajis7tjph,Razorpay pay_9h943ajis7tjph
led_2jv76fy8otny,merch_urbanco,order_8ynxwhaguil7,INV-2026-00004,cust_0215,10939,INR,sale,2026-02-26T21:43:00Z,paid,pay_862js2n85ikqbc,Razorpay pay_862js2n85ikqbc
led_m4p2r1t4krpq,merch_urbanco,order_9a35hsrvsqhd,INV-2026-00005,cust_0149,124308,INR,sale,2026-02-06T19:19:00Z,paid,pay_15xdoqtlanjk53,Razorpay pay_15xdoqtlanjk53
led_9qdqwu38xdzk,merch_nykaa,order_8luxt9w8kkap,INV-2026-00005,cust_0340,384948,INR,sale,2026-06-09T23:13:00Z,paid,pay_6pnlzn9cwpw222,Razorpay pay_6pnlzn9cwpw222
led_zx8ofgdl5sn5,merch_zomato,order_d38wiekkfj9x,INV-2026-00005,cust_0275,116768,INR,sale,2026-01-29T01:05:00Z,paid,pay_1fd462s3f2psey,Razorpay pay_1fd462s3f2psey
led_h5fzi1jdxwcp,merch_bluedart,order_exs00l7r8u4e,INV-2026-00004,cust_0152,7023,INR,sale,2026-03-12T03:11:00Z,paid,pay_na3pjer560du48,Razorpay pay_na3pjer560du48
led_90q1eym0l0oj,merch_bluedart,order_uno9b2zqekfq,INV-2026-00005,cust_0054,507698,INR,sale,2026-01-20T16:56:00Z,paid,pay_vanag67ew020f2,Razorpay pay_vanag67ew020f2
led_ozpzkhxt0xq7,merch_zomato,order_geh3965myqez,INV-2026-00008,cust_0213,113361,USD,sale,2026-01-30T10:31:00Z,paid,pay_g5yobnonbs2gst,Razorpay pay_g5yobnonbs2gst
led_zmmhectp0gbq,merch_urbanco,order_r54gen52opxi,INV-2026-00010,cust_0260,141756,INR,sale,2026-06-18T04:03:00Z,paid,pay_a6dwplz3ao059u,Razorpay pay_a6dwplz3ao059u
led_kvhvbwhpe83x,merch_apollo,order_eekqmxy0gfi5,INV-2026-00011,cust_0410,182600,INR,sale,2026-01-30T17:31:00Z,paid,pay_gsoufltt1u7g4o,Razorpay pay_gsoufltt1u7g4o
led_a3dgu6slgnnz,merch_nykaa,order_gfhulnbvrdqn,INV-2026-00009,cust_0286,214027,INR,sale,2026-04-11T23:25:00Z,paid,pay_7xtk00do6kngbz,Razorpay pay_7xtk00do6kngbz
led_c4b8i7tshvck,merch_urbanco,order_nqg9j00x8miu,INV-2026-00012,cust_0010,107156,INR,sale,2026-03-11T18:43:00Z,paid,pay_ybtrxyjmuye5sj,Razorpay pay_ybtrxyjmuye5sj
led_k0ah7pf02u9n,merch_zomato,order_l593hp4yubcg,INV-2026-00011,cust_0395,197522,INR,sale,2026-01-27T09:37:00Z,paid,pay_0e590vdlqjvnt2,Razorpay pay_0e590vdlqjvnt2
led_ch3t04ohn61i,merch_bluedart,order_1jams9s2ecn9,INV-2026-00007,cust_0445,109365,INR,sale,2026-05-24T21:01:00Z,paid,pay_f4hrk57qrnmckm,Razorpay pay_f4hrk57qrnmckm
led_mzd0cig4jjwz,merch_apollo,order_rz4iu87hlxqx,INV-2026-00014,cust_0166,1509798,INR,sale,2026-03-18T11:18:00Z,paid,pay_baizbtn25jkno4,Razorpay pay_baizbtn25jkno4
led_t263yba1vw74,merch_urbanco,order_9hxsqfb2bv5j,INV-2026-00014,cust_0459,33064,INR,sale,2026-01-11T04:33:00Z,paid,pay_oa1v500b5iqu8d,Razorpay pay_oa1v500b5iqu8d
led_w1ga39kt8ma3,merch_lenskart,order_qhqbzt8cboiz,INV-2026-00017,cust_0140,423369,INR,sale,2026-04-24T09:51:00Z,paid,pay_rq859djuxl4o50,Razorpay pay_rq859djuxl4o50
led_f79c1fjtvzrr,merch_urbanco,order_jwjrykcqpgwt,INV-2026-00017,cust_0332,139138,INR,sale,2026-01-20T18:17:00Z,paid,pay_jpe56lh4xurdm4,Razorpay pay_jpe56lh4xurdm4
led_sfcip3l06rqv,merch_apollo,order_10p70autpvjn,INV-2026-00023,cust_0378,126472,INR,sale,2026-04-11T01:32:00Z,paid,pay_jktsglbdb5g6ry,Razorpay pay_jktsglbdb5g6ry
led_x45lkpar3p29,merch_urbanco,order_dnaiswv69nl8,INV-2026-00020,cust_0463,2017193,INR,sale,2026-05-23T09:07:00Z,paid,pay_w63st766z2w6a7,Razorpay pay_w63st766z2w6a7
led_3oqxjeelru3w,merch_zomato,,INV-2026-00017,cust_0219,75520,INR,sale,2026-05-03T22:42:00Z,paid,,Razorpay pay_vzv8kpwo876189
led_9pwrwl3shn63,merch_lenskart,order_xwkjt9w68eno,INV-2026-00029,cust_0333,354249,INR,sale,2026-03-04T22:30:00Z,paid,pay_44v3d0dtocv6ld,Razorpay pay_44v3d0dtocv6ld
led_flfnetk7fsqn,merch_apollo,order_1knlqnui1an2,INV-2026-00029,cust_0041,564235,INR,sale,2026-01-12T20:29:00Z,paid,pay_ws7w4fdknq4ri9,Razorpay pay_ws7w4fdknq4ri9
led_mjxkx5dah9rz,merch_apollo,order_c496dhbg68xo,INV-2026-00030,cust_0227,124828,INR,sale,2026-04-30T20:17:00Z,paid,pay_zem0chirjnpgzy,Razorpay pay_zem0chirjnpgzy
led_t09cbjj5bfdr,merch_zomato,,INV-2026-00020,cust_0047,269900,INR,sale,2026-02-05T15:56:00Z,paid,,Razorpay pay_o2k6m0aqull6bm
led_6t5m6p0ak8wo,merch_lenskart,order_kirpy4mv1ebf,INV-2026-00033,cust_0352,2124547,INR,sale,2026-04-06T00:10:00Z,paid,pay_uzpduotf6o8k8p,Razorpay pay_uzpduotf6o8k8p
led_kms9tvdyaogp,merch_urbanco,order_yf3nudrhbhw2,INV-2026-00031,cust_0017,408504,INR,sale,2026-01-26T13:02:00Z,paid,pay_ljrp1bg5r7cgjw,Razorpay pay_ljrp1bg5r7cgjw
led_de9h7cmvt0xe,merch_lenskart,order_jajusi989iog,INV-2026-00035,cust_0380,134547,INR,sale,2026-03-04T08:52:00Z,paid,pay_lsgh289xi1enni,Razorpay pay_lsgh289xi1enni
led_yflhzwjs7bv0,merch_zomato,order_xj3defut6y3k,INV-2026-00021,cust_0164,196721,INR,sale,2026-01-15T15:14:00Z,paid,pay_gbfetb2hzh5c48,Razorpay pay_gbfetb2hzh5c48
led_x3wn1r2wkyvi,merch_zomato,order_u84kq99jcz5s,INV-2026-00022,cust_0295,155611,INR,sale,2026-05-01T01:34:00Z,paid,pay_vfho363lhynsi7,Razorpay pay_vfho363lhynsi7
led_j65pkvbocgvm,merch_lenskart,order_2mstx2pr1db1,INV-2026-00036,cust_0173,63355,INR,sale,2026-06-01T14:48:00Z,paid,pay_vzoxo26667fnqp,Razorpay pay_vzoxo26667fnqp
led_56poqou8lb6j,merch_bluedart,order_z3mu94m4hg1v,INV-2026-00019,cust_0182,196120,INR,sale,2026-06-04T07:46:00Z,paid,pay_zeth3tsvr4a1zs,Razorpay pay_zeth3tsvr4a1zs
led_bh9pc9qktf8v,merch_lenskart,order_ssotnlkp8xdf,INV-2026-00037,cust_0162,859309,INR,sale,2026-03-07T05:28:00Z,paid,pay_92tqyep8mdpqqt,Razorpay pay_92tqyep8mdpqqt
led_00l49tl6738c,merch_urbanco,order_801jocuoo2ho,INV-2026-00037,cust_0471,74929,INR,sale,2026-05-14T00:48:00Z,paid,pay_3fjgsrl2ht5lz2,Razorpay pay_3fjgsrl2ht5lz2
led_ugy55f6tolfu,merch_urbanco,order_111i7db44gs7,INV-2026-00040,cust_0018,37052,INR,sale,2026-02-09T23:41:00Z,paid,pay_0w6v94jfpjdy6c,Razorpay pay_0w6v94jfpjdy6c
led_6fqeftabeh60,merch_nykaa,order_7n324h6zyh86,INV-2026-00031,cust_0123,909285,INR,sale,2026-05-21T19:55:00Z,paid,pay_qch3rv6urok78b,Razorpay pay_qch3rv6urok78b
led_2on3e5a5z3g5,merch_lenskart,order_4oapddkmphfi,INV-2026-00041,cust_0269,402342,INR,sale,2026-06-07T12:58:00Z,paid,pay_dvrxlk1vwosdn9,Razorpay pay_dvrxlk1vwosdn9
led_ey7zup83xbye,merch_zomato,order_n2ybq65ad49q,INV-2026-00025,cust_0410,418686,INR,sale,2026-03-17T15:43:00Z,paid,pay_827dnjr94auo0a,Razorpay pay_827dnjr94auo0a
led_17ahyblnhgbx,merch_bluedart,order_ucyb1sho44tv,INV-2026-00028,cust_0202,488322,INR,sale,2026-06-11T02:15:00Z,paid,pay_sywt2s5mbfypso,Razorpay pay_sywt2s5mbfypso
led_lwlhylrnkibw,merch_urbanco,order_6i52mbtox7xu,INV-2026-00046,cust_0066,112329,INR,sale,2026-03-25T06:54:00Z,paid,pay_ndqux6frsk21h9,Razorpay pay_ndqux6frsk21h9
led_c48c90j53o05,merch_urbanco,order_d0klu2xdrzb6,INV-2026-00047,cust_0267,556696,INR,sale,2026-03-27T00:52:00Z,paid,pay_229jnee4f87kk4,Razorpay pay_229jnee4f87kk4
led_pu3h2me7g5r7,merch_lenskart,order_y8a7smxweswn,INV-2026-00046,cust_0182,294235,INR,sale,2026-05-10T19:57:00Z,paid,pay_75s1ywiw14ypgj,Razorpay pay_75s1ywiw14ypgj
led_um0y34of2glc,merch_apollo,order_zewkgnh32rgj,INV-2026-00037,cust_0017,25706,INR,sale,2026-02-28T16:20:00Z,paid,pay_oy3tzmangwbj87,Razorpay pay_oy3tzmangwbj87
led_jp8y3ll3ssh3,merch_nykaa,order_gl29mzpeb4ti,INV-2026-00041,cust_0202,283253,INR,sale,2026-04-16T11:45:00Z,paid,pay_u7q5w9ucjy5d42,Razorpay pay_u7q5w9ucjy5d42
led_5arjap2efqb0,merch_nykaa,order_gb3b9eejl640,INV-2026-00042,cust_0453,527830,INR,sale,2026-01-03T07:26:00Z,paid,pay_04vdokg8pbi6ty,Razorpay pay_04vdokg8pbi6ty
led_4rdh85blin1y,merch_urbanco,order_itbn3nyfefgc,INV-2026-00053,cust_0358,19296,INR,sale,2026-05-12T21:43:00Z,paid,pay_6q9fj5ogeczlf8,Razorpay pay_6q9fj5ogeczlf8
led_kixzlpmiqrfj,merch_apollo,order_gl21qfmkeuc2,INV-2026-00041,cust_0498,124723,INR,sale,2026-04-12T10:27:00Z,paid,pay_rvpjssj5qcomr2,Razorpay pay_rvpjssj5qcomr2
led_x8x73b94sty4,merch_bluedart,order_8gorgl31273y,INV-2026-00036,cust_0420,216288,INR,sale,2026-04-02T14:30:00Z,paid,pay_hov5usoap4jedp,Razorpay pay_hov5usoap4jedp
