entity_id,merchant_id,entity_type,settlement_id,settlement_utr,order_id,amount_paise,currency,fee_paise,tax_paise,net_amount_paise,payment_method,captured_at,settled_at,description,notes,status
pay_9h943ajis7tjph,merch_apollo,payment,setl_qsui2eiit4,1H2BUXSHBRV5UMQL,order_wyvs52rkg15e,386549,INR,7731,1392,377426,card,2026-02-20T14:30:00Z,2026-02-21T14:30:00Z,Order order_wyvs52rkg15e,{'customer_id': 'cust_0390'},captured
pay_862js2n85ikqbc,merch_urbanco,payment,setl_8fzygrpne8,T49EPZN5P0GY7TNG,order_8ynxwhaguil7,10939,INR,197,35,10707,netbanking,2026-02-26T21:43:00Z,2026-02-27T21:43:00Z,Order order_8ynxwhaguil7,{'customer_id': 'cust_0215'},captured
pay_15xdoqtlanjk53,merch_urbanco,payment,setl_8fzygrpne8,W7MR7IVXJ2EP30DJ,order_9a35hsrvsqhd,124308,INR,2238,403,121667,wallet,2026-02-06T19:19:00Z,2026-02-08T19:19:00Z,Order order_9a35hsrvsqhd,{'customer_id': 'cust_0149'},captured
pay_6pnlzn9cwpw222,merch_nykaa,payment,setl_4ifhlky589,JLWWYVJU1NL7QJ1U,order_8luxt9w8kkap,384948,INR,7699,1386,375863,card,2026-06-09T23:13:00Z,2026-06-11T23:13:00Z,Order order_8luxt9w8kkap,{'customer_id': 'cust_0340'},captured
pay_1fd462s3f2psey,merch_zomato,payment,setl_pfjnuzxmrz,EQJH3ZBRZV3MOXKQ,order_d38wiekkfj9x,116768,INR,0,0,116768,upi,2026-01-29T01:05:00Z,2026-02-01T01:05:00Z,Order order_d38wiekkfj9x,{'customer_id': 'cust_0275'},captured
pay_na3pjer560du48,merch_bluedart,payment,setl_5b44fp7f25,O566KNJ8O894X0AS,order_exs00l7r8u4e,7023,INR,0,0,7023,upi,2026-03-12T03:11:00Z,2026-03-14T03:11:00Z,Order order_exs00l7r8u4e,{'customer_id': 'cust_0152'},captured
pay_vanag67ew020f2,merch_bluedart,payment,setl_5b44fp7f25,KH4N7W3BEX2P4TIJ,order_uno9b2zqekfq,507698,INR,0,0,507698,upi,2026-01-20T16:56:00Z,2026-01-22T16:56:00Z,Order order_uno9b2zqekfq,{'customer_id': 'cust_0054'},captured
pay_g5yobnonbs2gst,merch_zomato,payment,setl_pfjnuzxmrz,3OXQYUFUJ5P2WX97,order_geh3965myqez,113361,INR,0,0,113361,upi,2026-01-30T10:31:00Z,2026-02-01T10:31:00Z,Order order_geh3965myqez,{'customer_id': 'cust_0213'},captured
pay_a6dwplz3ao059u,merch_urbanco,payment,setl_8fzygrpne8,3BVS0CXIC2WXEA2N,order_r54gen52opxi,141756,INR,2552,459,138745,netbanking,2026-06-18T04:03:00Z,2026-06-20T04:03:00Z,Order order_r54gen52opxi,{'customer_id': 'cust_0260'},captured
pay_gsoufltt1u7g4o,merch_apollo,payment,setl_qsui2eiit4,PL4ZBUKMDHBCVCFF,order_eekqmxy0gfi5,182600,INR,3652,657,178291,card,2026-01-30T17:31:00Z,2026-02-06T17:31:00Z,Order order_eekqmxy0gfi5,{'customer_id': 'cust_0410'},captured
pay_7xtk00do6kngbz,merch_nykaa,payment,setl_4ifhlky589,NPHSB8E6HFZROC99,order_gfhulnbvrdqn,214027,INR,4281,771,208975,card,2026-04-11T23:25:00Z,2026-04-13T23:25:00Z,Order order_gfhulnbvrdqn,{'customer_id': 'cust_0286'},captured
pay_ybtrxyjmuye5sj,merch_urbanco,payment,setl_8fzygrpne8,Y0VUJ0RIE0ZNCQZR,order_nqg9j00x8miu,107156,INR,1929,347,104880,wallet,2026-03-11T18:43:00Z,2026-03-13T18:43:00Z,Order order_nqg9j00x8miu,{'customer_id': 'cust_0010'},captured
pay_0e590vdlqjvnt2,merch_zomato,payment,setl_pfjnuzxmrz,O07FOSF2CT6XDUOJ,order_l593hp4yubcg,197522,INR,0,0,197522,upi,2026-01-27T09:37:00Z,2026-01-28T09:37:00Z,Order order_l593hp4yubcg,{'customer_id': 'cust_0395'},captured
pay_f4hrk57qrnmckm,merch_bluedart,payment,setl_5b44fp7f25,573F9I0L7JSU1LDY,order_1jams9s2ecn9,109365,INR,0,0,109365,upi,2026-05-24T21:01:00Z,2026-05-31T21:01:00Z,Order order_1jams9s2ecn9,{'customer_id': 'cust_0445'},captured
pay_baizbtn25jkno4,merch_apollo,payment,setl_qsui2eiit4,DD36X5UIRKGXM8VX,order_rz4iu87hlxqx,1509798,INR,30196,5435,1474167,card,2026-03-18T11:18:00Z,2026-03-21T11:18:00Z,Order order_rz4iu87hlxqx,{'customer_id': 'cust_0166'},captured
pay_oa1v500b5iqu8d,merch_urbanco,payment,setl_8fzygrpne8,MQ0ZFC7X6NYWETDH,order_9hxsqfb2bv5j,33064,INR,661,119,32284,card,2026-01-11T04:33:00Z,2026-01-12T04:33:00Z,Order order_9hxsqfb2bv5j,{'customer_id': 'cust_0459'},captured
pay_rq859djuxl4o50,merch_lenskart,payment,setl_71hfe86y5r,V2JJVZTE109GJU7I,order_qhqbzt8cboiz,423369,INR,7621,1372,414376,wallet,2026-04-24T09:51:00Z,2026-04-25T09:51:00Z,Order order_qhqbzt8cboiz,{'customer_id': 'cust_0140'},captured
pay_jpe56lh4xurdm4,merch_urbanco,payment,setl_8fzygrpne8,ZB1XBVDTHYR3XCNT,order_jwjrykcqpgwt,139138,INR,0,0,139138,upi,2026-01-20T18:17:00Z,2026-01-21T18:17:00Z,Order order_jwjrykcqpgwt,{'customer_id': 'cust_0332'},captured
pay_jktsglbdb5g6ry,merch_apollo,payment,setl_cah81ghzb2,PJ5880C71C1DU9FR,order_10p70autpvjn,126472,INR,2276,410,123786,netbanking,2026-04-11T01:32:00Z,2026-04-12T01:32:00Z,Order order_10p70autpvjn,{'customer_id': 'cust_0378'},captured
pay_w63st766z2w6a7,merch_urbanco,payment,setl_8fzygrpne8,7CSQ0FULIWA5HNQN,order_dnaiswv69nl8,2017193,INR,36309,6536,1974348,netbanking,2026-05-23T09:07:00Z,2026-05-26T09:07:00Z,Order order_dnaiswv69nl8,{'customer_id': 'cust_0463'},captured
pay_vzv8kpwo876189,merch_zomato,payment,setl_pfjnuzxmrz,V5RF9WBFH7GFRCU6,order_mw0f3lr0ruii,75520,INR,0,0,75520,upi,2026-05-03T22:42:00Z,2026-05-10T22:42:00Z,Order order_mw0f3lr0ruii,{'customer_id': 'cust_0219'},captured
pay_44v3d0dtocv6ld,merch_lenskart,payment,setl_feoxkbs04v,SWCPC4HRAJ69T67F,order_xwkjt9w68eno,354249,INR,7085,1275,345889,card,2026-03-04T22:30:00Z,2026-03-06T22:30:00Z,Order order_xwkjt9w68eno,{'customer_id': 'cust_0333'},captured
pay_ws7w4fdknq4ri9,merch_apollo,payment,setl_cah81ghzb2,I916DKWWMDO29O54,order_1knlqnui1an2,564235,INR,11285,2031,550919,card,2026-01-12T20:29:00Z,2026-01-13T20:29:00Z,Order order_1knlqnui1an2,{'customer_id': 'cust_0041'},captured
pay_zem0chirjnpgzy,merch_apollo,payment,setl_cah81ghzb2,LHUDA0ED599AU0K4,order_c496dhbg68xo,124828,INR,2497,449,121882,card,2026-04-30T20:17:00Z,2026-05-01T20:17:00Z,Order order_c496dhbg68xo,{'customer_id': 'cust_0227'},captured
pay_o2k6m0aqull6bm,merch_zomato,payment,setl_pfjnuzxmrz,GNLUPJ2EW6QRHP1A,order_jatyb1strpuf,269900,INR,5398,972,263530,card,2026-02-05T15:56:00Z,2026-02-07T15:56:00Z,Order order_jatyb1strpuf,{'customer_id': 'cust_0047'},captured
pay_uzpduotf6o8k8p,merch_lenskart,payment,setl_feoxkbs04v,NNLW0P4E8VC2DJR5,order_kirpy4mv1ebf,2124547,INR,0,0,2124547,upi,2026-04-06T00:10:00Z,2026-04-08T00:10:00Z,Order order_kirpy4mv1ebf,{'customer_id': 'cust_0352'},captured
pay_ljrp1bg5r7cgjw,merch_urbanco,payment,setl_t69rq553r8,PBIH0QD1Q8HHTK6E,order_yf3nudrhbhw2,408504,INR,0,0,408504,upi,2026-01-26T13:02:00Z,2026-01-28T13:02:00Z,Order order_yf3nudrhbhw2,{'customer_id': 'cust_0017'},captured
pay_lsgh289xi1enni,merch_lenskart,payment,setl_feoxkbs04v,E1DJ90GNWXPUAM9W,order_jajusi989iog,134547,INR,2691,484,131372,card,2026-03-04T08:52:00Z,2026-03-06T08:52:00Z,Order order_jajusi989iog,{'customer_id': 'cust_0380'},captured
pay_gbfetb2hzh5c48,merch_zomato,payment,setl_n2p6lw4hzy,4CU7S5UC6YDVJ0R7,order_xj3defut6y3k,196721,INR,3541,637,192543,netbanking,2026-01-15T15:14:00Z,2026-01-17T15:14:00Z,Order order_xj3defut6y3k,{'customer_id': 'cust_0164'},captured
pay_vfho363lhynsi7,merch_zomato,payment,setl_n2p6lw4hzy,FKYGZXI184KNSDBK,order_u84kq99jcz5s,155611,INR,0,0,155611,upi,2026-05-01T01:34:00Z,2026-05-03T01:34:00Z,Order order_u84kq99jcz5s,{'customer_id': 'cust_0295'},captured
pay_vzoxo26667fnqp,merch_lenskart,payment,setl_feoxkbs04v,L6IQ1TGMMMFHS3KT,order_2mstx2pr1db1,63355,INR,1140,205,62010,netbanking,2026-06-01T14:48:00Z,2026-06-03T14:48:00Z,Order order_2mstx2pr1db1,{'customer_id': 'cust_0173'},captured
pay_zeth3tsvr4a1zs,merch_bluedart,payment,setl_5b44fp7f25,R8PDSJYJLEWQ9YK0,order_z3mu94m4hg1v,196120,INR,3530,635,191955,netbanking,2026-06-04T07:46:00Z,2026-06-06T07:46:00Z,Order order_z3mu94m4hg1v,{'customer_id': 'cust_0182'},captured
pay_92tqyep8mdpqqt,merch_lenskart,payment,setl_feoxkbs04v,DCCNTZQNJDP9U6YS,order_ssotnlkp8xdf,859309,INR,15468,2784,841057,netbanking,2026-03-07T05:28:00Z,2026-03-09T05:28:00Z,Order order_ssotnlkp8xdf,{'customer_id': 'cust_0162'},captured
pay_3fjgsrl2ht5lz2,merch_urbanco,payment,setl_t69rq553r8,LNWRQL8MGZCVIH5S,order_801jocuoo2ho,74929,INR,1349,243,73337,wallet,2026-05-14T00:48:00Z,2026-05-16T00:48:00Z,Order order_801jocuoo2ho,{'customer_id': 'cust_0471'},captured
pay_0w6v94jfpjdy6c,merch_urbanco,payment,setl_t69rq553r8,RMP0JLONDJRU2V2V,order_111i7db44gs7,37052,INR,667,120,36265,netbanking,2026-02-09T23:41:00Z,2026-02-12T23:41:00Z,Order order_111i7db44gs7,{'customer_id': 'cust_0018'},captured
pay_qch3rv6urok78b,merch_nykaa,payment,setl_rcicpbhxvx,RD2307LHIRFEEHZM,order_7n324h6zyh86,909285,INR,16367,2946,889972,netbanking,2026-05-21T19:55:00Z,2026-05-24T19:55:00Z,Order order_7n324h6zyh86,{'customer_id': 'cust_0123'},captured
pay_dvrxlk1vwosdn9,merch_lenskart,payment,setl_jrosde65qs,EOU1F4S1OMNO1VRS,order_4oapddkmphfi,402342,INR,0,0,402342,upi,2026-06-07T12:58:00Z,2026-06-08T12:58:00Z,Order order_4oapddkmphfi,{'customer_id': 'cust_0269'},captured
pay_827dnjr94auo0a,merch_zomato,payment,setl_n2p6lw4hzy,6REAHXZXLSAYDSRB,order_n2ybq65ad49q,418686,INR,0,0,418686,upi,2026-03-17T15:43:00Z,2026-03-18T15:43:00Z,Order order_n2ybq65ad49q,{'customer_id': 'cust_0410'},captured
pay_sywt2s5mbfypso,merch_bluedart,payment,setl_cea2mqttkp,YVOY9RWV98KXCV2Y,order_ucyb1sho44tv,488322,INR,0,0,488322,upi,2026-06-11T02:15:00Z,2026-06-13T02:15:00Z,Order order_ucyb1sho44tv,{'customer_id': 'cust_0202'},captured
