record_id,merchant_id,transaction_date,value_date,description,reference_number,debit_amount_paise,credit_amount_paise,balance_paise,bank_name,account_number
banktxn_f71bvxoz7ggsdivc,merch_apollo,2026-02-17,2026-02-17,NEFT/RAZORPAY/NNO29SNNS48XNPKH/setl_qsui2eiit4,NNO29SNNS48XNPKH,,19994,,HDFC,XXXXXX4021
banktxn_xi5gczh8jy5wa9al,merch_urbanco,2026-05-12,2026-05-12,NEFT/RAZORPAY/8ZB8RW37X9JAAKEM/setl_8fzygrpne8,8ZB8RW37X9JAAKEM,,699248,,Axis,XXXXXX1147
banktxn_85brszzwq615mz5k,merch_bluedart,2026-05-21,2026-05-21,NEFT/RAZORPAY/5H9O9OKN650JSNH6/setl_5b44fp7f25,5H9O9OKN650JSNH6,,55849000,,Kotak,XXXXXX5567
banktxn_f3f5r7t3jb7080av,merch_lenskart,2026-05-10,2026-05-10,NEFT/RAZORPAY/YY9H5J5WD9YKP4JR/setl_71hfe86y5r,YY9H5J5WD9YKP4JR,,178672,,HDFC,XXXXXX9910
banktxn_zgu9d0jq6xh8q6w7,merch_lenskart,2026-03-31,2026-03-31,NEFT/RAZORPAY/7N2OGY336137QSO7/setl_71hfe86y5r,7N2OGY336137QSO7,,336618,,HDFC,XXXXXX9910
banktxn_jwzdtln3etlzuns7,merch_lenskart,2026-03-07,2026-03-07,NEFT/RAZORPAY/S5VSK7V16PQ2ZZ05/setl_71hfe86y5r,S5VSK7V16PQ2ZZ05,,15071,,HDFC,XXXXXX9910
banktxn_kzdcdim8bwyk7mzu,merch_zomato,2026-03-08,2026-03-08,NEFT/RAZORPAY/KWOQFHPLIS88QWJZ/setl_pfjnuzxmrz,KWOQFHPLIS88QWJZ,,412484,,ICICI,XXXXXX8830
banktxn_r491tl2543bgz4eg,merch_nykaa,2026-03-28,2026-03-28,NEFT/RAZORPAY/CKW56AYY04DDR6DY/setl_4ifhlky589,CKW56AYY04DDR6DY,,87164,,RazorpayX,RZPX00XXXX2201
banktxn_laysmkzknqrkfydo,merch_nykaa,2026-06-11,2026-06-11,NEFT/RAZORPAY/XFBZZQ6MTR6ABZPW/setl_4ifhlky589,XFBZZQ6MTR6ABZPW,,45846,,RazorpayX,RZPX00XXXX2201
banktxn_b78c0g0tvvy0vfdu,merch_apollo,2026-06-16,2026-06-16,NEFT/RAZORPAY/OZO2AL9A9B3QJJSI/setl_qsui2eiit4,OZO2AL9A9B3QJJSI,,831080,,HDFC,XXXXXX4021
banktxn_6x6smeigc2153d77,merch_bluedart,2026-01-17,2026-01-17,NEFT/RAZORPAY/6GPTFCXLBKZ0040Q/setl_5b44fp7f25,6GPTFCXLBKZ0040Q,,72561,,Kotak,XXXXXX5567
banktxn_mjn8sxlbj17e89ej,merch_urbanco,2026-03-18,2026-03-18,NEFT/RAZORPAY/9WECZXYZ7QT4781U/setl_8fzygrpne8,9WECZXYZ7QT4781U,,675012,,Axis,XXXXXX1147
banktxn_nunj123fgzojn7yf,merch_apollo,2026-01-24,2026-01-24,NEFT/RAZORPAY/HSQG3VYN7KYRUFH9/setl_cah81ghzb2,HSQG3VYN7KYRUFH9,,170328,,HDFC,XXXXXX4021
banktxn_3ocfnfc51q10lc4e,merch_lenskart,2026-04-15,2026-04-15,NEFT/RAZORPAY/SMBD2YDS3X6OJS30/setl_71hfe86y5r,SMBD2YDS3X6OJS30,,40918,,HDFC,XXXXXX9910
banktxn_538nvic9od2fsl8h,merch_bluedart,2026-01-30,2026-01-30,NEFT/RAZORPAY/4L1SOWEW0E17JFRF/setl_5b44fp7f25,4L1SOWEW0E17JFRF,,0,,Kotak,XXXXXX5567
banktxn_0j3ycorkn8xe6p0y,merch_lenskart,2026-04-27,2026-04-27,NEFT/RAZORPAY/REEG7I575LC7N8KO/setl_feoxkbs04v,REEG7I575LC7N8KO,,1151233,,HDFC,XXXXXX9910
banktxn_35izv0rw8uvwy7p0,merch_urbanco,2026-06-08,2026-06-08,NEFT/RAZORPAY/IHRXEJ5JQK554F5A/setl_t69rq553r8,IHRXEJ5JQK554F5A,,946998,,Axis,XXXXXX1147
banktxn_0v9t9xizajvi4i0t,merch_urbanco,2026-03-29,2026-03-29,NEFT/RAZORPAY/MLPQHJC2XL7RTMI7/setl_t69rq553r8,MLPQHJC2XL7RTMI7,,463578,,Axis,XXXXXX1147
banktxn_ae66vukef6boq43g,merch_urbanco,2026-03-21,2026-03-21,NEFT/RAZORPAY/P4UOUBWXG8KMP421/setl_t69rq553r8,P4UOUBWXG8KMP421,,201782,,Axis,XXXXXX1147
banktxn_zfi7ll624msqsriu,merch_urbanco,2026-05-05,2026-05-05,NEFT/RAZORPAY/U682R1A48WXORM8P/setl_t69rq553r8,U682R1A48WXORM8P,,44979,,Axis,XXXXXX1147
banktxn_19b85q73s3k6yhc1,merch_nykaa,2026-04-24,2026-04-24,NEFT/RAZORPAY/UP2GH31UTVBUY62N/setl_rcicpbhxvx,UP2GH31UTVBUY62N,,0,,RazorpayX,RZPX00XXXX2201
banktxn_igsg5vmnmxsa2o9y,merch_lenskart,2026-04-17,2026-04-17,NEFT/RAZORPAY/C8J3OIBH8KQECHCB/setl_feoxkbs04v,C8J3OIBH8KQECHCB,,370612,,HDFC,XXXXXX9910
banktxn_y28ym4kkedcjarhe,merch_urbanco,2026-05-25,2026-05-25,NEFT/RAZORPAY/9GEKYTCM9C9DJB61/setl_t69rq553r8,9GEKYTCM9C9DJB61,,535804,,Axis,XXXXXX1147
banktxn_0o03o7e2y41uoios,merch_apollo,2026-02-24,2026-02-24,NEFT/RAZORPAY/ZK374QXY1AKN296E/setl_cah81ghzb2,ZK374QXY1AKN296E,,70552,,HDFC,XXXXXX4021
banktxn_ua1nsbs1vml5n4b8,merch_bluedart,2026-01-11,2026-01-11,NEFT/RAZORPAY/⚠️​<<<INJECTED>>>/ടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടട,QAZZUHF79S628OUO,,108477,,Kotak,XXXXXX5567
banktxn_x0gia434vm3r5s05,merch_lenskart,2026-01-26,2026-01-26,NEFT/RAZORPAY/4CBKEAPIQWIDRGMF/setl_feoxkbs04v,4CBKEAPIQWIDRGMF,,17788,,HDFC,XXXXXX9910
banktxn_vpy3xqp9z5dsa7ge,merch_bluedart,2026-06-06,2026-06-06,NEFT/RAZORPAY/44896XAF5NML5QL4/setl_cea2mqttkp,44896XAF5NML5QL4,,161476,,Kotak,XXXXXX5567
banktxn_1xny6qu2hrzr445g,merch_urbanco,2026-06-30,2026-06-30,NEFT/RAZORPAY/BELVES76A881SVNR/setl_jzsdq6081w,BELVES76A881SVNR,,182247,,Axis,XXXXXX1147
banktxn_4afqnegq3r2kp1cn,merch_lenskart,2026-01-19,2026-01-19,NEFT/RAZORPAY/UUD6BOZY498W94UW/setl_feoxkbs04v,UUD6BOZY498W94UW,,123175,,HDFC,XXXXXX9910
banktxn_43h37pgx7zx0ggbz,merch_nykaa,2026-06-04,2026-06-04,NEFT/RAZORPAY/2Z2U3QDFQZTM1XB8/setl_rcicpbhxvx,2Z2U3QDFQZTM1XB8,,157486,,RazorpayX,RZPX00XXXX2201
banktxn_iwxw1e6nfzwxbhl8,merch_lenskart,2026-03-19,2026-03-19,NEFT/RAZORPAY/BPENLYBIC15UOJQH/setl_jrosde65qs,BPENLYBIC15UOJQH,,523292,,HDFC,XXXXXX9910
banktxn_7z8x0foluvgi7q0d,merch_bluedart,2026-04-15,2026-04-15,NEFT/RAZORPAY/O6TWQZX00BD116LQ/setl_cea2mqttkp,O6TWQZX00BD116LQ,,48897,,Kotak,XXXXXX5567
banktxn_zk1kvige0cj7w47u,merch_nykaa,2026-06-07,2026-06-07,NEFT/RAZORPAY/LXN6EW6ZPNN1VXGO/setl_rcicpbhxvx,LXN6EW6ZPNN1VXGO,,67125,,RazorpayX,RZPX00XXXX2201
banktxn_sph5varx2y0x6ns6,merch_zomato,2026-02-28,2026-02-28,NEFT/RAZORPAY/R072Z37W72D1QZE6/setl_n2p6lw4hzy,R072Z37W72D1QZE6,,511177,,ICICI,XXXXXX8830
banktxn_1y7vxma975nzs5zh,merch_apollo,2026-01-24,2026-01-24,NEFT/RAZORPAY/FAQ7JKJD3SQETE61/setl_cah81ghzb2,FAQ7JKJD3SQETE61,,608689,,HDFC,XXXXXX4021
banktxn_r1je7dpx5va2c7co,merch_apollo,2026-05-29,2026-05-29,NEFT/RAZORPAY/KX2219UB84JBKTC7/setl_cah81ghzb2,KX2219UB84JBKTC7,,250897,,HDFC,XXXXXX4021
banktxn_pbpt6frzj604c9wa,merch_apollo,2026-03-30,2026-03-30,NEFT/RAZORPAY/FEBZDWODDUQ5WL7Y/setl_4m1mvohiti,FEBZDWODDUQ5WL7Y,,85882,,HDFC,XXXXXX4021
banktxn_yfmzkkzkabjam8k6,merch_zomato,2026-04-24,2026-04-24,NEFT/RAZORPAY/0FP8B54UF9TVARHY/setl_n2p6lw4hzy,0FP8B54UF9TVARHY,,409858,,ICICI,XXXXXX8830
banktxn_yn0vrrkegjo2jb9s,merch_apollo,2026-05-26,2026-05-26,NEFT/RAZORPAY/X9T515BC8R4M581G/setl_4m1mvohiti,X9T515BC8R4M581G,,19345,,HDFC,XXXXXX4021
banktxn_wjwuj98fkhdj3jqo,merch_lenskart,2026-03-10,2026-03-10,NEFT/RAZORPAY/YSWHIUT5A3DN02Q6/setl_jrosde65qs,YSWHIUT5A3DN02Q6,,13947,,HDFC,XXXXXX9910
banktxn_bb9u664tnvr7v6ra,merch_lenskart,2026-04-06,2026-04-06,NEFT/RAZORPAY/R41FXG9BUDP8TDB3/setl_jrosde65qs,R41FXG9BUDP8TDB3,,45992,,HDFC,XXXXXX9910
banktxn_5rj8c6omhi7ctbtu,merch_nykaa,2026-01-03,2026-01-03,NEFT/RAZORPAY/CHR5SR9E7DCQ70GI/setl_g5wjzkie9x,CHR5SR9E7DCQ70GI,,594355,,RazorpayX,RZPX00XXXX2201
