razorpay_record_id,merchant_id,true_bank_record_ids,true_merchant_record_id,relationship_type,anomaly_type,notes
pay_kijsrasms2mrh3,merch_apollo,banktxn_f71bvxoz7ggsdivc,led_784sbs5km4zy,exact_match,,refund_paise=0
pay_8fv1nzntz854jp,merch_urbanco,banktxn_xi5gczh8jy5wa9al,led_2152gdq1vyij,exact_match,,refund_paise=0
pay_5wm36re4lpk1hs,merch_bluedart,banktxn_85brszzwq615mz5k,led_o0iqo5zfxaoa,exact_match,extreme_amount_mismatch,refund_paise=0
pay_0nk8oqnybu4140,merch_lenskart,banktxn_f3f5r7t3jb7080av,led_mxxgan8h71lr,exact_match,,refund_paise=0
pay_ja42jitxxlr8lv,merch_lenskart,banktxn_zgu9d0jq6xh8q6w7,led_i76vccgxcmqi,exact_match,,refund_paise=0
pay_o9z30awuva4vkf,merch_lenskart,banktxn_jwzdtln3etlzuns7,led_6e0lmizxn62a,exact_match,,refund_paise=0
pay_pdtcl6q27stw8v,merch_zomato,banktxn_kzdcdim8bwyk7mzu,led_qyir0x61o933,exact_match,fee_mismatch,refund_paise=0
pay_xuz07msff2ko7o,merch_nykaa,banktxn_r491tl2543bgz4eg,led_qosprk1o7y04,exact_match,,refund_paise=0
pay_0dv5t3nzqn3hx2,merch_nykaa,banktxn_laysmkzknqrkfydo,led_zgnssp02i1x8,refund_of,partial_refund,refund_paise=69486
pay_by8pqks1btct5g,merch_apollo,banktxn_b78c0g0tvvy0vfdu,led_tqs50fzhzd3b,exact_match,,refund_paise=0
pay_juyeooug9xr0is,merch_bluedart,banktxn_6x6smeigc2153d77,led_58ob7bgit4th,exact_match,out_of_order_arrival,refund_paise=0
pay_wcb6aykkjhn6ym,merch_urbanco,banktxn_mjn8sxlbj17e89ej,led_8d85r741ur2c,exact_match,,refund_paise=0
pay_qn5p8f7w7xxgv5,merch_apollo,banktxn_nunj123fgzojn7yf,led_so0pgj5fjdas,exact_match,,refund_paise=0
pay_ktvt45zfs8uhaa,merch_lenskart,banktxn_3ocfnfc51q10lc4e,led_6aa2qw6kkzcd,refund_of,fee_mismatch,refund_paise=116235
pay_0odte4hn24dqjv,merch_bluedart,banktxn_538nvic9od2fsl8h,led_k2xqi1ellfdy,refund_of,full_refund,refund_paise=149007
pay_fda56r1akohegu,merch_lenskart,banktxn_0j3ycorkn8xe6p0y,led_tk9ievt9i92k,exact_match,,refund_paise=0
pay_obmyzpu8g0w989,merch_urbanco,banktxn_35izv0rw8uvwy7p0,led_c0rymfx2saxe,exact_match,,refund_paise=0
pay_u7hx19qe9mv1fr,merch_urbanco,banktxn_0v9t9xizajvi4i0t,led_2di73vj0rm03,exact_match,,refund_paise=0
pay_s2m8tth0amwwdm,merch_urbanco,banktxn_ae66vukef6boq43g,led_724sn1bk6so8,exact_match,,refund_paise=0
pay_e8yfq8gilk75qq,merch_urbanco,banktxn_zfi7ll624msqsriu,led_8bw590ntoksb,exact_match,,refund_paise=0
pay_tmrdzconb0csnx,merch_nykaa,banktxn_19b85q73s3k6yhc1,led_lkanx0pq34cw,refund_of,currency_mismatch,refund_paise=98474
pay_0jhzm7lt5t575b,merch_lenskart,banktxn_igsg5vmnmxsa2o9y,led_drmidlwzh5wd,exact_match,,refund_paise=0
pay_5tc4rhts9l4blt,merch_urbanco,banktxn_y28ym4kkedcjarhe,led_dm18s7o1sdo3,exact_match,,refund_paise=0
pay_gbmtc3po9iw4eb,merch_apollo,banktxn_0o03o7e2y41uoios,led_fvgmtu9tyne9,refund_of,partial_refund,refund_paise=165914
pay_3l5kmc9dj4nksu,merch_bluedart,banktxn_ua1nsbs1vml5n4b8,led_jp97cki5mv1q,refund_of,malformed_description,refund_paise=315459
pay_d35okxcucvbui3,merch_lenskart,banktxn_x0gia434vm3r5s05,led_kn4gksmunvjv,exact_match,,refund_paise=0
pay_k173kzun9koz1r,merch_bluedart,banktxn_vpy3xqp9z5dsa7ge,led_f3z13eu22ee9,exact_match,,refund_paise=0
pay_3g7xvbsia2ilr7,merch_urbanco,banktxn_1xny6qu2hrzr445g,led_mupwf871a5bc,exact_match,,refund_paise=0
