ledger_id,merchant_id,order_id,invoice_number,customer_id,amount_paise,currency,transaction_type,created_at,payment_status,payment_gateway_id,notes
led_784sbs5km4zy,merch_apollo,order_4pnwa19s284f,INV-2026-00004,cust_0149,20428,INR,sale,2026-02-16T18:37:00Z,paid,pay_kijsrasms2mrh3,Razorpay pay_kijsrasms2mrh3
led_2152gdq1vyij,merch_urbanco,order_uxqq48k4stxm,INV-2026-00006,cust_0248,714423,INR,sale,2026-05-11T07:39:00Z,paid,pay_8fv1nzntz854jp,Razorpay pay_8fv1nzntz854jp
led_o0iqo5zfxaoa,merch_bluedart,order_vemzorbo5if4,INV-2026-00003,cust_0072,558490,INR,sale,2026-05-19T11:19:00Z,paid,pay_5wm36re4lpk1hs,Razorpay pay_5wm36re4lpk1hs
led_mxxgan8h71lr,merch_lenskart,order_gd23pwiwqrp5,INV-2026-00009,cust_0140,178672,INR,sale,2026-05-08T21:46:00Z,paid,pay_0nk8oqnybu4140,Razorpay pay_0nk8oqnybu4140
led_i76vccgxcmqi,merch_lenskart,order_mcap1ee8d1wa,INV-2026-00011,cust_0083,336618,INR,sale,2026-03-30T10:39:00Z,paid,pay_ja42jitxxlr8lv,Razorpay pay_ja42jitxxlr8lv
led_6e0lmizxn62a,merch_lenskart,order_lh3wezopf5ts,INV-2026-00012,cust_0253,15398,INR,sale,2026-03-05T16:26:00Z,paid,pay_o9z30awuva4vkf,Razorpay pay_o9z30awuva4vkf
led_qyir0x61o933,merch_zomato,order_0x3zruwbb86o,INV-2026-00010,cust_0103,420925,INR,sale,2026-03-07T20:51:00Z,paid,pay_pdtcl6q27stw8v,Razorpay pay_pdtcl6q27stw8v
led_qosprk1o7y04,merch_nykaa,order_gyi1xnwwsv2i,INV-2026-00008,cust_0388,87164,INR,sale,2026-03-26T11:18:00Z,paid,pay_xuz07msff2ko7o,Razorpay pay_xuz07msff2ko7o
led_zgnssp02i1x8,merch_nykaa,order_4j4dx66eyocc,INV-2026-00010,cust_0456,115332,INR,sale,2026-06-09T23:56:00Z,paid,pay_0dv5t3nzqn3hx2,Razorpay pay_0dv5t3nzqn3hx2
led_tqs50fzhzd3b,merch_apollo,order_ka757sn5xowa,INV-2026-00013,cust_0076,851167,INR,sale,2026-06-15T15:25:00Z,paid,pay_by8pqks1btct5g,Razorpay pay_by8pqks1btct5g
led_58ob7bgit4th,merch_bluedart,order_okx26ymrhlhh,INV-2026-00008,cust_0394,74135,INR,sale,2026-01-30T01:47:00Z,paid,pay_juyeooug9xr0is,Razorpay pay_juyeooug9xr0is
led_8d85r741ur2c,merch_urbanco,order_908xinvqla6d,INV-2026-00016,cust_0056,675012,INR,sale,2026-03-16T09:57:00Z,paid,pay_wcb6aykkjhn6ym,Razorpay pay_wcb6aykkjhn6ym
led_so0pgj5fjdas,merch_apollo,order_f7klofrd96bd,INV-2026-00021,cust_0324,175506,INR,sale,2026-01-22T10:42:00Z,paid,pay_qn5p8f7w7xxgv5,Razorpay pay_qn5p8f7w7xxgv5
led_6aa2qw6kkzcd,merch_lenskart,order_16bi7ypa40h9,INV-2026-00020,cust_0479,160440,INR,sale,2026-04-13T06:38:00Z,paid,pay_ktvt45zfs8uhaa,Razorpay pay_ktvt45zfs8uhaa
led_k2xqi1ellfdy,merch_bluedart,order_6yag6ko8lbku,INV-2026-00011,cust_0028,149007,INR,sale,2026-01-28T12:10:00Z,paid,pay_0odte4hn24dqjv,Razorpay pay_0odte4hn24dqjv
led_tk9ievt9i92k,merch_lenskart,order_78yv5le4looz,INV-2026-00022,cust_0159,1186227,INR,sale,2026-04-25T03:56:00Z,paid,pay_fda56r1akohegu,Razorpay pay_fda56r1akohegu
led_c0rymfx2saxe,merch_urbanco,order_oh3nfqtbsmtw,INV-2026-00024,cust_0090,967549,INR,sale,2026-06-05T03:22:00Z,paid,pay_obmyzpu8g0w989,Razorpay pay_obmyzpu8g0w989
led_2di73vj0rm03,merch_urbanco,order_nd5co6hysxbg,INV-2026-00027,cust_0129,474783,INR,sale,2026-03-27T17:40:00Z,paid,pay_u7hx19qe9mv1fr,Razorpay pay_u7hx19qe9mv1fr
led_724sn1bk6so8,merch_urbanco,order_xow4b9mlt8hj,INV-2026-00028,cust_0327,206659,INR,sale,2026-03-19T01:09:00Z,paid,pay_s2m8tth0amwwdm,Razorpay pay_s2m8tth0amwwdm
led_8bw590ntoksb,merch_urbanco,order_w9vcbt0a7qgz,INV-2026-00029,cust_0261,46066,INR,sale,2026-05-04T20:39:00Z,paid,pay_e8yfq8gilk75qq,Razorpay pay_e8yfq8gilk75qq
led_lkanx0pq34cw,merch_nykaa,order_c0jl6ngw0h2h,INV-2026-00026,cust_0076,100854,USD,sale,2026-04-22T22:15:00Z,paid,pay_tmrdzconb0csnx,Razorpay pay_tmrdzconb0csnx
led_drmidlwzh5wd,merch_lenskart,order_5bk1a0dnt5fj,INV-2026-00032,cust_0133,370612,INR,sale,2026-04-15T05:54:00Z,paid,pay_0jhzm7lt5t575b,Razorpay pay_0jhzm7lt5t575b
led_dm18s7o1sdo3,merch_urbanco,order_xr1pi0o10ekr,INV-2026-00032,cust_0229,548755,INR,sale,2026-05-23T03:50:00Z,paid,pay_5tc4rhts9l4blt,Razorpay pay_5tc4rhts9l4blt
led_fvgmtu9tyne9,merch_apollo,order_cls1s4fxiza9,INV-2026-00031,cust_0147,242182,INR,sale,2026-02-23T10:51:00Z,paid,pay_gbmtc3po9iw4eb,Razorpay pay_gbmtc3po9iw4eb
led_jp97cki5mv1q,merch_bluedart,order_lbij6za9aq7y,INV-2026-00020,cust_0087,433135,INR,sale,2026-01-10T23:04:00Z,paid,pay_3l5kmc9dj4nksu,Razorpay pay_3l5kmc9dj4nksu
led_kn4gksmunvjv,merch_lenskart,order_sbw05bcg9yc7,INV-2026-00038,cust_0161,18174,INR,sale,2026-01-24T00:07:00Z,paid,pay_d35okxcucvbui3,Razorpay pay_d35okxcucvbui3
led_f3z13eu22ee9,merch_bluedart,order_kpbk2ik2w38v,INV-2026-00022,cust_0489,161476,INR,sale,2026-06-05T15:28:00Z,paid,pay_k173kzun9koz1r,Razorpay pay_k173kzun9koz1r
led_mupwf871a5bc,merch_urbanco,order_94cuvf0obo2j,INV-2026-00041,cust_0229,182247,INR,sale,2026-06-28T19:17:00Z,paid,pay_3g7xvbsia2ilr7,Razorpay pay_3g7xvbsia2ilr7
led_pse8uwqafxiv,merch_lenskart,order_xhx0j8kfudcu,INV-2026-00040,cust_0396,126919,INR,sale,2026-01-18T22:24:00Z,paid,pay_z2ec9j8p0n3w07,Razorpay pay_z2ec9j8p0n3w07
led_uvfxcocx4phf,merch_nykaa,order_q9hwekn3njao,INV-2026-00035,cust_0080,157486,INR,sale,2026-06-03T01:40:00Z,paid,pay_foml5nxhx9po7f,Razorpay pay_foml5nxhx9po7f
led_t3l2i3ifdddm,merch_lenskart,order_g5t2oioamni2,INV-2026-00044,cust_0100,523292,INR,sale,2026-03-17T05:49:00Z,paid,pay_jqja1fq8nxrd6j,Razorpay pay_jqja1fq8nxrd6j
led_pnm834j47xi6,merch_bluedart,order_8pke2q245wvk,INV-2026-00024,cust_0277,48897,INR,sale,2026-04-12T07:34:00Z,paid,pay_56txt7y3cf5cvd,Razorpay pay_56txt7y3cf5cvd
led_ua3cxlfh25nd,merch_nykaa,order_bylubloaapee,INV-2026-00037,cust_0202,68748,INR,sale,2026-06-06T10:02:00Z,paid,pay_8yhpecy6lpag5k,Razorpay pay_8yhpecy6lpag5k
led_916l3t5cw2qs,merch_zomato,order_mnirbfgu68gt,INV-2026-00028,cust_0053,522270,INR,sale,2026-02-26T23:56:00Z,paid,pay_f371npvsnrj4ns,Razorpay pay_f371npvsnrj4ns
led_kadnhbrwtghv,merch_apollo,order_fn7hbo7i3gyc,INV-2026-00039,cust_0025,623401,INR,sale,2026-01-23T11:39:00Z,paid,pay_9knopjsb7f0th8,Razorpay pay_9knopjsb7f0th8
led_mm9xpb1bvfm8,merch_apollo,order_07h32m9sy41n,INV-2026-00040,cust_0369,256961,INR,sale,2026-06-15T23:05:00Z,paid,pay_l9ests8rpkqcct,Razorpay pay_l9ests8rpkqcct
led_ce96ywembt4x,merch_apollo,order_aqa33spyratr,INV-2026-00043,cust_0245,85882,INR,sale,2026-03-28T06:36:00Z,paid,pay_60k2kbhfxfz0mz,Razorpay pay_60k2kbhfxfz0mz
led_p7wkvn5s43l3,merch_zomato,order_k0v58ilmd6a3,INV-2026-00033,cust_0271,409858,INR,sale,2026-04-23T01:00:00Z,paid,pay_ojyiknerka6eye,Razorpay pay_ojyiknerka6eye
led_qejo165lf0nv,merch_apollo,order_be3grq1358zf,INV-2026-00046,cust_0369,19345,INR,sale,2026-05-24T04:45:00Z,paid,pay_z7q4bkm1ip723t,Razorpay pay_z7q4bkm1ip723t
led_z9795lrgmamg,merch_lenskart,order_wpqomp98h4sq,INV-2026-00053,cust_0295,14249,INR,sale,2026-03-08T08:01:00Z,paid,pay_5vqyaak68tbps0,Razorpay pay_5vqyaak68tbps0
led_3iayn7ihzpze,merch_lenskart,order_kqs3uwtvlmga,INV-2026-00054,cust_0017,45992,INR,sale,2026-04-05T08:01:00Z,paid,pay_1x9ucq5ksrg0kc,Razorpay pay_1x9ucq5ksrg0kc
led_oxnuq2rdgib2,merch_nykaa,order_8pidxm00ketb,INV-2026-00048,cust_0420,594355,USD,sale,2026-01-02T23:43:00Z,paid,pay_x9tv2kphp7q3ur,Razorpay pay_x9tv2kphp7q3ur
led_z9qkdet5t0yr,merch_zomato,order_qdjawwup1kk1,INV-2026-00040,cust_0422,59870,INR,sale,2026-05-02T19:36:00Z,paid,pay_1wswwrldwl2oud,Razorpay pay_1wswwrldwl2oud
led_f2ppfr0n28x5,merch_lenskart,order_c5s4io4lfhqv,INV-2026-00057,cust_0332,83457,INR,sale,2026-06-25T22:56:00Z,paid,pay_keu0uuhnhiu3y8,Razorpay pay_keu0uuhnhiu3y8
led_ilppaan97vv3,merch_lenskart,order_tntne7bp23yr,INV-2026-00058,cust_0162,1146022,INR,sale,2026-05-31T04:07:00Z,paid,pay_27a3f19n81glac,Razorpay pay_27a3f19n81glac
