entity_id,merchant_id,entity_type,settlement_id,settlement_utr,order_id,amount_paise,currency,fee_paise,tax_paise,net_amount_paise,payment_method,captured_at,settled_at,description,notes,status
pay_kijsrasms2mrh3,merch_apollo,payment,setl_qsui2eiit4,NNO29SNNS48XNPKH,order_4pnwa19s284f,20428,INR,368,66,19994,netbanking,2026-02-16T18:37:00Z,2026-02-17T18:37:00Z,Order order_4pnwa19s284f,{'customer_id': 'cust_0149'},captured
pay_8fv1nzntz854jp,merch_urbanco,payment,setl_8fzygrpne8,8ZB8RW37X9JAAKEM,order_uxqq48k4stxm,714423,INR,12860,2315,699248,wallet,2026-05-11T07:39:00Z,2026-05-12T07:39:00Z,Order order_uxqq48k4stxm,{'customer_id': 'cust_0248'},captured
pay_5wm36re4lpk1hs,merch_bluedart,payment,setl_5b44fp7f25,5H9O9OKN650JSNH6,order_vemzorbo5if4,558490,INR,0,0,558490,upi,2026-05-19T11:19:00Z,2026-05-21T11:19:00Z,Order order_vemzorbo5if4,{'customer_id': 'cust_0072'},captured
pay_0nk8oqnybu4140,merch_lenskart,payment,setl_71hfe86y5r,YY9H5J5WD9YKP4JR,order_gd23pwiwqrp5,178672,INR,0,0,178672,upi,2026-05-08T21:46:00Z,2026-05-10T21:46:00Z,Order order_gd23pwiwqrp5,{'customer_id': 'cust_0140'},captured
pay_ja42jitxxlr8lv,merch_lenskart,payment,setl_71hfe86y5r,7N2OGY336137QSO7,order_mcap1ee8d1wa,336618,INR,0,0,336618,upi,2026-03-30T10:39:00Z,2026-03-31T10:39:00Z,Order order_mcap1ee8d1wa,{'customer_id': 'cust_0083'},captured
pay_o9z30awuva4vkf,merch_lenskart,payment,setl_71hfe86y5r,S5VSK7V16PQ2ZZ05,order_lh3wezopf5ts,15398,INR,277,50,15071,netbanking,2026-03-05T16:26:00Z,2026-03-07T16:26:00Z,Order order_lh3wezopf5ts,{'customer_id': 'cust_0253'},captured
pay_pdtcl6q27stw8v,merch_zomato,payment,setl_pfjnuzxmrz,KWOQFHPLIS88QWJZ,order_0x3zruwbb86o,420925,INR,7577,1364,411984,netbanking,2026-03-07T20:51:00Z,2026-03-08T20:51:00Z,Order order_0x3zruwbb86o,{'customer_id': 'cust_0103'},captured
pay_xuz07msff2ko7o,merch_nykaa,payment,setl_4ifhlky589,CKW56AYY04DDR6DY,order_gyi1xnwwsv2i,87164,INR,0,0,87164,upi,2026-03-26T11:18:00Z,2026-03-28T11:18:00Z,Order order_gyi1xnwwsv2i,{'customer_id': 'cust_0388'},captured
pay_0dv5t3nzqn3hx2,merch_nykaa,payment,setl_4ifhlky589,XFBZZQ6MTR6ABZPW,order_4j4dx66eyocc,115332,INR,0,0,115332,upi,2026-06-09T23:56:00Z,2026-06-11T23:56:00Z,Order order_4j4dx66eyocc,{'customer_id': 'cust_0456'},captured
pay_by8pqks1btct5g,merch_apollo,payment,setl_qsui2eiit4,OZO2AL9A9B3QJJSI,order_ka757sn5xowa,851167,INR,17023,3064,831080,card,2026-06-15T15:25:00Z,2026-06-16T15:25:00Z,Order order_ka757sn5xowa,{'customer_id': 'cust_0076'},captured
pay_juyeooug9xr0is,merch_bluedart,payment,setl_5b44fp7f25,6GPTFCXLBKZ0040Q,order_okx26ymrhlhh,74135,INR,1334,240,72561,netbanking,2026-01-30T01:47:00Z,2026-01-31T01:47:00Z,Order order_okx26ymrhlhh,{'customer_id': 'cust_0394'},captured
pay_wcb6aykkjhn6ym,merch_urbanco,payment,setl_8fzygrpne8,9WECZXYZ7QT4781U,order_908xinvqla6d,675012,INR,0,0,675012,upi,2026-03-16T09:57:00Z,2026-03-18T09:57:00Z,Order order_908xinvqla6d,{'customer_id': 'cust_0056'},captured
pay_qn5p8f7w7xxgv5,merch_apollo,payment,setl_cah81ghzb2,HSQG3VYN7KYRUFH9,order_f7klofrd96bd,175506,INR,4388,790,170328,emi,2026-01-22T10:42:00Z,2026-01-24T10:42:00Z,Order order_f7klofrd96bd,{'customer_id': 'cust_0324'},captured
pay_ktvt45zfs8uhaa,merch_lenskart,payment,setl_71hfe86y5r,SMBD2YDS3X6OJS30,order_16bi7ypa40h9,160440,INR,3209,578,156653,card,2026-04-13T06:38:00Z,2026-04-15T06:38:00Z,Order order_16bi7ypa40h9,{'customer_id': 'cust_0479'},captured
pay_0odte4hn24dqjv,merch_bluedart,payment,setl_5b44fp7f25,4L1SOWEW0E17JFRF,order_6yag6ko8lbku,149007,INR,0,0,149007,upi,2026-01-28T12:10:00Z,2026-01-30T12:10:00Z,Order order_6yag6ko8lbku,{'customer_id': 'cust_0028'},captured
pay_fda56r1akohegu,merch_lenskart,payment,setl_feoxkbs04v,REEG7I575LC7N8KO,order_78yv5le4looz,1186227,INR,29656,5338,1151233,emi,2026-04-25T03:56:00Z,2026-04-27T03:56:00Z,Order order_78yv5le4looz,{'customer_id': 'cust_0159'},captured
pay_obmyzpu8g0w989,merch_urbanco,payment,setl_t69rq553r8,IHRXEJ5JQK554F5A,order_oh3nfqtbsmtw,967549,INR,17416,3135,946998,netbanking,2026-06-05T03:22:00Z,2026-06-08T03:22:00Z,Order order_oh3nfqtbsmtw,{'customer_id': 'cust_0090'},captured
pay_u7hx19qe9mv1fr,merch_urbanco,payment,setl_t69rq553r8,MLPQHJC2XL7RTMI7,order_nd5co6hysxbg,474783,INR,9496,1709,463578,card,2026-03-27T17:40:00Z,2026-03-29T17:40:00Z,Order order_nd5co6hysxbg,{'customer_id': 'cust_0129'},captured
pay_s2m8tth0amwwdm,merch_urbanco,payment,setl_t69rq553r8,P4UOUBWXG8KMP421,order_xow4b9mlt8hj,206659,INR,4133,744,201782,card,2026-03-19T01:09:00Z,2026-03-21T01:09:00Z,Order order_xow4b9mlt8hj,{'customer_id': 'cust_0327'},captured
pay_e8yfq8gilk75qq,merch_urbanco,payment,setl_t69rq553r8,U682R1A48WXORM8P,order_w9vcbt0a7qgz,46066,INR,921,166,44979,card,2026-05-04T20:39:00Z,2026-05-05T20:39:00Z,Order order_w9vcbt0a7qgz,{'customer_id': 'cust_0261'},captured
pay_tmrdzconb0csnx,merch_nykaa,payment,setl_rcicpbhxvx,UP2GH31UTVBUY62N,order_c0jl6ngw0h2h,100854,INR,2017,363,98474,card,2026-04-22T22:15:00Z,2026-04-24T22:15:00Z,Order order_c0jl6ngw0h2h,{'customer_id': 'cust_0076'},captured
pay_0jhzm7lt5t575b,merch_lenskart,payment,setl_feoxkbs04v,C8J3OIBH8KQECHCB,order_5bk1a0dnt5fj,370612,INR,0,0,370612,upi,2026-04-15T05:54:00Z,2026-04-17T05:54:00Z,Order order_5bk1a0dnt5fj,{'customer_id': 'cust_0133'},captured
pay_5tc4rhts9l4blt,merch_urbanco,payment,setl_t69rq553r8,9GEKYTCM9C9DJB61,order_xr1pi0o10ekr,548755,INR,10975,1976,535804,card,2026-05-23T03:50:00Z,2026-05-25T03:50:00Z,Order order_xr1pi0o10ekr,{'customer_id': 'cust_0229'},captured
