record_id,merchant_id,transaction_date,value_date,description,reference_number,debit_amount_paise,credit_amount_paise,balance_paise,bank_name,account_number
banktxn_nmdh4ayfatohzek3,merch_lenskart,2026-06-06,2026-06-06,NEFT/RAZORPAY/ZINC42EI5E6OHTNA/setl_71hfe86y5r,ZINC42EI5E6OHTNA,,60786,,HDFC,XXXXXX9910
banktxn_dp3ao0ogtirzv9ci,merch_lenskart,2026-02-27,2026-02-25,NEFT/RAZORPAY/HTF4SZ63Y05FAQVU/setl_71hfe86y5r,HTF4SZ63Y05FAQVU,,34610,,HDFC,XXXXXX9910
banktxn_wvg35rh20l8gaszr,merch_bluedart,2026-03-10,2026-03-10,NEFT/RAZORPAY/0ZJ68G76Z9HIDLDG/setl_5b44fp7f25,0ZJ68G76Z9HIDLDG,,259397,,Kotak,XXXXXX5567
banktxn_ol1vkbvdmglhhz0x,merch_urbanco,2026-02-06,2026-02-06,NEFT/RAZORPAY/RBXHYUTRHKF5HSFT/setl_8fzygrpne8,RBXHYUTRHKF5HSFT,,434102,,Axis,XXXXXX1147
banktxn_mlzyotkcfoeq2kuo,merch_apollo,2026-04-25,2026-04-25,NEFT/RAZORPAY/W84HQLWH0IJV9SYU/setl_qsui2eiit4,W84HQLWH0IJV9SYU,,0,,HDFC,XXXXXX4021
banktxn_qmr3ijm6wd9ue6mz,merch_nykaa,2026-03-25,2026-03-25,NEFT/RAZORPAY/9U4555R6N8Z3ZZL7/setl_4ifhlky589,9U4555R6N8Z3ZZL7,,57055,,RazorpayX,RZPX00XXXX2201
banktxn_mw4jts23ni45wotz,merch_apollo,2026-06-27,2026-06-27,NEFT/RAZORPAY/94BVTSKK9S4USJH3/setl_qsui2eiit4,94BVTSKK9S4USJH3,,996405,,HDFC,XXXXXX4021
banktxn_894i6wyx2l8o9aba,merch_lenskart,2026-04-25,2026-04-25,NEFT/RAZORPAY/L8X5RWN1NJBDLVCE/setl_71hfe86y5r,L8X5RWN1NJBDLVCE,,71792,,HDFC,XXXXXX9910
banktxn_2kjwpyug2cim3lh7,merch_nykaa,2026-04-22,2026-04-22,NEFT/RAZORPAY/2MYLBTUB84T2IC2C/setl_4ifhlky589,2MYLBTUB84T2IC2C,,94936,,RazorpayX,RZPX00XXXX2201
banktxn_wtfdm33ivuiy06r8,merch_zomato,2026-01-20,2026-01-20,NEFT/RAZORPAY/QFAKKCAVWTVJV15P/setl_pfjnuzxmrz,QFAKKCAVWTVJV15P,,304296,,ICICI,XXXXXX8830
banktxn_j0gnf37tjapwj7in,merch_zomato,2026-03-17,2026-03-17,NEFT/RAZORPAY/K5P6B8UKF0GOFSHL/setl_pfjnuzxmrz,K5P6B8UKF0GOFSHL,,366679,,ICICI,XXXXXX8830
banktxn_i9cleofvzlgvvtam,merch_lenskart,2026-06-05,2026-06-05,NEFT/RAZORPAY/VT6UKDNKQ2E91GZQ/setl_71hfe86y5r,VT6UKDNKQ2E91GZQ,,0,,HDFC,XXXXXX9910
