razorpay_record_id,merchant_id,true_bank_record_ids,true_merchant_record_id,relationship_type,anomaly_type,notes
pay_yqesh0arlh9dl6,merch_lenskart,banktxn_nmdh4ayfatohzek3,led_e2kph4dkdvpt,exact_match,,refund_paise=0
pay_ufuqc66rmrqt36,merch_lenskart,banktxn_dp3ao0ogtirzv9ci,led_d3y3k33uwxa3,exact_match,timing_difference,refund_paise=0
pay_gp8jtk40t64ydw,merch_bluedart,banktxn_wvg35rh20l8gaszr,led_z0749y2nz9r8,exact_match,,refund_paise=0
pay_1jopc4f6j72myr,merch_urbanco,banktxn_ol1vkbvdmglhhz0x,led_c5fqvzfuvs15,exact_match,,refund_paise=0
pay_fajz0zq5e7t79v,merch_apollo,banktxn_mlzyotkcfoeq2kuo,led_o9v28wl6s6xt,refund_of,full_refund,refund_paise=733877
pay_zkoxitwr67zdrs,merch_nykaa,banktxn_qmr3ijm6wd9ue6mz,led_n7herzz1h1bh,exact_match,,refund_paise=0
pay_frpx5pjlela4w7,merch_apollo,banktxn_mw4jts23ni45wotz,led_2sckuw93s6l5,exact_match,,refund_paise=0
pay_nioql3l4l6zoig,merch_lenskart,banktxn_894i6wyx2l8o9aba,led_s2qnfsiseyfj,exact_match,,refund_paise=0
pay_qb5xn4xywwz1ou,merch_nykaa,banktxn_2kjwpyug2cim3lh7,led_nrpsolbvvnxh,exact_match,missing_merchant_record,refund_paise=0
pay_utdl9kkmp8nwz6,merch_zomato,banktxn_wtfdm33ivuiy06r8,led_gnpn2p3zcnzi,exact_match,,refund_paise=0
pay_6lityxv8wthc7l,merch_zomato,banktxn_j0gnf37tjapwj7in,led_ee8u9tnqzuyd,exact_match,,refund_paise=0
pay_zdudlj0dc7ufdp,merch_lenskart,banktxn_i9cleofvzlgvvtam,led_a8yvby3x2430,refund_of,partial_refund,refund_paise=40191
pay_r606gewxzesnpt,merch_lenskart,banktxn_1l6afxbzalzrtepb,led_brp1csro0ddh,exact_match,,refund_paise=0
