ledger_id,merchant_id,order_id,invoice_number,customer_id,amount_paise,currency,transaction_type,created_at,payment_status,payment_gateway_id,notes
led_e2kph4dkdvpt,merch_lenskart,order_5o6mmg2ty7o5,INV-2026-00001,cust_0074,60786,INR,sale,2026-06-04T00:54:00Z,paid,pay_yqesh0arlh9dl6,Razorpay pay_yqesh0arlh9dl6
led_d3y3k33uwxa3,merch_lenskart,order_3pl6fccys8rb,INV-2026-00002,cust_0492,35447,INR,sale,2026-02-24T18:24:00Z,paid,pay_ufuqc66rmrqt36,Razorpay pay_ufuqc66rmrqt36
led_z0749y2nz9r8,merch_bluedart,order_g8m4fniasyjx,INV-2026-00001,cust_0022,259397,INR,sale,2026-03-08T06:58:00Z,paid,pay_gp8jtk40t64ydw,Razorpay pay_gp8jtk40t64ydw
led_c5fqvzfuvs15,merch_urbanco,order_n4wl0qv6rnt9,INV-2026-00003,cust_0151,434102,INR,sale,2026-01-30T05:35:00Z,paid,pay_1jopc4f6j72myr,Razorpay pay_1jopc4f6j72myr
led_o9v28wl6s6xt,merch_apollo,order_iwhquuftz9oc,INV-2026-00002,cust_0008,733877,INR,sale,2026-04-23T23:50:00Z,paid,pay_fajz0zq5e7t79v,Razorpay pay_fajz0zq5e7t79v
led_n7herzz1h1bh,merch_nykaa,order_eqltpq6krkgn,INV-2026-00002,cust_0360,57055,INR,sale,2026-03-24T20:45:00Z,paid,pay_zkoxitwr67zdrs,Razorpay pay_zkoxitwr67zdrs
led_2sckuw93s6l5,merch_apollo,order_xwcmm9f69gcb,INV-2026-00003,cust_0259,996405,INR,sale,2026-06-26T12:21:00Z,paid,pay_frpx5pjlela4w7,Razorpay pay_frpx5pjlela4w7
led_s2qnfsiseyfj,merch_lenskart,order_9l59mjp85jzo,INV-2026-00005,cust_0495,71792,INR,sale,2026-04-23T17:53:00Z,paid,pay_nioql3l4l6zoig,Razorpay pay_nioql3l4l6zoig
led_nrpsolbvvnxh,merch_nykaa,,INV-2026-00004,cust_0411,97231,INR,sale,2026-04-20T00:03:00Z,paid,,Razorpay pay_qb5xn4xywwz1ou
led_gnpn2p3zcnzi,merch_zomato,order_kft7hsf963io,INV-2026-00002,cust_0038,310899,INR,sale,2026-01-19T23:30:00Z,paid,pay_utdl9kkmp8nwz6,Razorpay pay_utdl9kkmp8nwz6
led_ee8u9tnqzuyd,merch_zomato,order_atgb0licbprw,INV-2026-00003,cust_0391,374636,INR,sale,2026-03-16T01:16:00Z,paid,pay_6lityxv8wthc7l,Razorpay pay_6lityxv8wthc7l
led_a8yvby3x2430,merch_lenskart,order_fzkiotymjgnw,INV-2026-00006,cust_0212,41063,INR,sale,2026-06-04T20:34:00Z,paid,pay_zdudlj0dc7ufdp,Razorpay pay_zdudlj0dc7ufdp
led_brp1csro0ddh,merch_lenskart,order_w9m1u6iq579m,INV-2026-00007,cust_0386,260879,INR,sale,2026-06-15T13:38:00Z,paid,pay_r606gewxzesnpt,Razorpay pay_r606gewxzesnpt
led_i2heyiatvzw7,merch_lenskart,order_7fj7bn9woq8o,INV-2026-00008,cust_0294,463716,INR,sale,2026-03-25T06:43:00Z,paid,pay_vxkop7mmtbj58k,Razorpay pay_vxkop7mmtbj58k
led_1ke1h3uxmea6,merch_apollo,order_arpv1orbmdbh,INV-2026-00006,cust_0127,380363,INR,sale,2026-02-20T13:40:00Z,paid,pay_5g414cs85l72t3,Razorpay pay_5g414cs85l72t3
