entity_id,merchant_id,entity_type,settlement_id,settlement_utr,order_id,amount_paise,currency,fee_paise,tax_paise,net_amount_paise,payment_method,captured_at,settled_at,description,notes,status
pay_yqesh0arlh9dl6,merch_lenskart,payment,setl_71hfe86y5r,ZINC42EI5E6OHTNA,order_5o6mmg2ty7o5,60786,INR,0,0,60786,upi,2026-06-04T00:54:00Z,2026-06-06T00:54:00Z,Order order_5o6mmg2ty7o5,{'customer_id': 'cust_0074'},captured
pay_ufuqc66rmrqt36,merch_lenskart,payment,setl_71hfe86y5r,HTF4SZ63Y05FAQVU,order_3pl6fccys8rb,35447,INR,709,128,34610,card,2026-02-24T18:24:00Z,2026-02-25T18:24:00Z,Order order_3pl6fccys8rb,{'customer_id': 'cust_0492'},captured
pay_gp8jtk40t64ydw,merch_bluedart,payment,setl_5b44fp7f25,0ZJ68G76Z9HIDLDG,order_g8m4fniasyjx,259397,INR,0,0,259397,upi,2026-03-08T06:58:00Z,2026-03-10T06:58:00Z,Order order_g8m4fniasyjx,{'customer_id': 'cust_0022'},captured
pay_1jopc4f6j72myr,merch_urbanco,payment,setl_8fzygrpne8,RBXHYUTRHKF5HSFT,order_n4wl0qv6rnt9,434102,INR,0,0,434102,upi,2026-01-30T05:35:00Z,2026-02-06T05:35:00Z,Order order_n4wl0qv6rnt9,{'customer_id': 'cust_0151'},captured
pay_fajz0zq5e7t79v,merch_apollo,payment,setl_qsui2eiit4,W84HQLWH0IJV9SYU,order_iwhquuftz9oc,733877,INR,0,0,733877,upi,2026-04-23T23:50:00Z,2026-04-25T23:50:00Z,Order order_iwhquuftz9oc,{'customer_id': 'cust_0008'},captured
pay_zkoxitwr67zdrs,merch_nykaa,payment,setl_4ifhlky589,9U4555R6N8Z3ZZL7,order_eqltpq6krkgn,57055,INR,0,0,57055,upi,2026-03-24T20:45:00Z,2026-03-25T20:45:00Z,Order order_eqltpq6krkgn,{'customer_id': 'cust_0360'},captured
pay_frpx5pjlela4w7,merch_apollo,payment,setl_qsui2eiit4,94BVTSKK9S4USJH3,order_xwcmm9f69gcb,996405,INR,0,0,996405,upi,2026-06-26T12:21:00Z,2026-06-27T12:21:00Z,Order order_xwcmm9f69gcb,{'customer_id': 'cust_0259'},captured
pay_nioql3l4l6zoig,merch_lenskart,payment,setl_71hfe86y5r,L8X5RWN1NJBDLVCE,order_9l59mjp85jzo,71792,INR,0,0,71792,upi,2026-04-23T17:53:00Z,2026-04-25T17:53:00Z,Order order_9l59mjp85jzo,{'customer_id': 'cust_0495'},captured
pay_qb5xn4xywwz1ou,merch_nykaa,payment,setl_4ifhlky589,2MYLBTUB84T2IC2C,order_2ong1m4mf6l8,97231,INR,1945,350,94936,card,2026-04-20T00:03:00Z,2026-04-22T00:03:00Z,Order order_2ong1m4mf6l8,{'customer_id': 'cust_0411'},captured
pay_utdl9kkmp8nwz6,merch_zomato,payment,setl_pfjnuzxmrz,QFAKKCAVWTVJV15P,order_kft7hsf963io,310899,INR,5596,1007,304296,netbanking,2026-01-19T23:30:00Z,2026-01-20T23:30:00Z,Order order_kft7hsf963io,{'customer_id': 'cust_0038'},captured
pay_6lityxv8wthc7l,merch_zomato,payment,setl_pfjnuzxmrz,K5P6B8UKF0GOFSHL,order_atgb0licbprw,374636,INR,6743,1214,366679,wallet,2026-03-16T01:16:00Z,2026-03-17T01:16:00Z,Order order_atgb0licbprw,{'customer_id': 'cust_0391'},captured
pay_zdudlj0dc7ufdp,merch_lenskart,payment,setl_71hfe86y5r,VT6UKDNKQ2E91GZQ,order_fzkiotymjgnw,41063,INR,739,133,40191,netbanking,2026-06-04T20:34:00Z,2026-06-05T20:34:00Z,Order order_fzkiotymjgnw,{'customer_id': 'cust_0212'},captured
pay_r606gewxzesnpt,merch_lenskart,payment,setl_71hfe86y5r,JLTDXUMU6SSK4J27,order_w9m1u6iq579m,260879,INR,5218,939,254722,card,2026-06-15T13:38:00Z,2026-06-22T13:38:00Z,Order order_w9m1u6iq579m,{'customer_id': 'cust_0386'},captured
pay_vxkop7mmtbj58k,merch_lenskart,payment,setl_71hfe86y5r,RBVYBZAVI8BKS3M0,order_7fj7bn9woq8o,463716,INR,8347,1502,453867,netbanking,2026-03-25T06:43:00Z,2026-03-27T06:43:00Z,Order order_7fj7bn9woq8o,{'customer_id': 'cust_0294'},captured
pay_5g414cs85l72t3,merch_apollo,payment,setl_qsui2eiit4,HS92FIVQZU35HO8Q,order_arpv1orbmdbh,380363,INR,0,0,380363,upi,2026-02-20T13:40:00Z,2026-02-22T13:40:00Z,Order order_arpv1orbmdbh,{'customer_id': 'cust_0127'},captured
pay_ombbfkm1m9cvyj,merch_lenskart,payment,setl_71hfe86y5r,C8LBK31997XN4NP6,order_bv253ee1xu0l,252051,INR,0,0,252051,upi,2026-01-15T07:29:00Z,2026-01-17T07:29:00Z,Order order_bv253ee1xu0l,{'customer_id': 'cust_0382'},captured
pay_iymqgovu2bhp9p,merch_zomato,payment,setl_pfjnuzxmrz,HV6E8JSKHQ5CSDQV,order_2plf3uhn1ljj,382457,INR,0,0,382457,upi,2026-01-26T03:36:00Z,2026-01-28T03:36:00Z,Order order_2plf3uhn1ljj,{'customer_id': 'cust_0349'},captured
pay_g5i1o3adeedhqw,merch_apollo,payment,setl_qsui2eiit4,MTGDTJXP60WNZIJ6,order_10u8b0egjhro,173423,INR,0,0,173423,upi,2026-05-02T20:01:00Z,2026-05-04T20:01:00Z,Order order_10u8b0egjhro,{'customer_id': 'cust_0327'},captured
